MesZL	SL/HA	aBZL	HethZL		Sign Name	Unicode	Unicode Name	comment	has unicode	worthington	
283	152_14				EZEN×UD	U+120B4 𒂴	EZEN TIMES UD		TRUE	FALSE	
291	161				EZENxḪA	U+120A9 𒂩	EZEN TIMES HA		TRUE	FALSE	
491	319	201	159		GA	U+120B5 𒂵	GA	KA3	TRUE	TRUE	
387	233	93	56		GÁ (MAL)	U+120B7 𒂷	GA2		TRUE	TRUE	"PISAN"
492	319n	202			GA-gunû	U+120B6 𒂶	GA GUNU	old sign	TRUE	FALSE	
428	273				GÁ/É× A.DA.ḪA	U+120B8 𒂸	GA2 TIMES A PLUS DA PLUS HA		TRUE	FALSE	
428	273				GÁ/É× A.DA.ḪA	U+120BE 𒂎	E2 TIMES A PLUS HA PLUS DA(sic!)		TRUE	FALSE	
429	274				GÁ× A.IGI	U+120BA 𒂺	GA2 TIMES A PLUS IGI	to be deleted	TRUE	FALSE	
393	238				GÁ× AN.GAG.A				FALSE	FALSE	
414	258				GÁ× ÁŠ.GAL	U+120BE 𒂾	GA2 TIMES ASH2 PLUS GAL		TRUE	FALSE	
415	259				GÁ× BUR.RA	U+120C2 𒃂	GA2 TIMES BUR PLUS RA		TRUE	FALSE	
433	272				GÁ× EL.LA	U+120C8 𒃈	GA2 TIMES EL PLUS LA		TRUE	FALSE	
391	236				GÁ× GÍR.SU	U+120D0 𒃐	GA2 TIMES GIR2 PLUS SU		TRUE	FALSE	
