name	sign	syllabic	PREFIX	POSTFIX	meszl	unicode	compound	sumerogram1	sumerogram2	sumerogram3	sumerogram4	sumerogram5	sumerogram6	sumerogram7	sumerogram8	sumerogram9	sumerogram10	sumerogram11	sumerogram12	sumerogram13	sumerogram14																											
ḪA	𒄩	ḫa			856	U+12129	False	’A4	A7	GIR14	KIR9	KU6	KUA	NŪN	NŪNU	PEŠ11	QER10	QIR10																														
GUR	𒄥	gur, qur			180	U+12125	False	GURU	KUR3	QUR	TARI	TARU																																				
GUL	𒄢	gul			682	U+12122	False	GULU	ISI2	SUN2	SUNA2	ŠUN3																																				
GU	𒄖	gu			891	U+12116	False	KU8	QU3																																							
GIŠ	𒄑	giš, es, ez, eṣ, is, iz, iṣ	wood, teees		469	U+12111	False	ES	EṢ	EŠ19	GEZ	GIZ	IS	IṢ	IŠ6	IZ	KIS2	MIŠ3	MU9	NES2	NEŠ2	NIS2	NIŠ2	UŠ19																								
GIR	𒄫	gir, kir, qir, biš, piš			558	U+1212B	False	ḪA  gunû	BIS2	BIŠ	BUŠ2	PEŠ	PIS	PIŠ	PIŠA	PUS	PUŠ3	QAR5	QER	QIR	QIRI																											
GIL	𒄃	gil			105	U+12103	False	GI over  GI parallel orGI  crossing  GI	ESIR4	GE16	GEL	GI16	GIB	GIG3	UNU10																																	
GI	𒄀	ge, gi			141	U+12100	False	EŠŠA2	TAR5	TARU5																																						
GAZ	𒄤	gas, gaz			340	U+12124	False	KUM x ŠE	GAS	GAṢ	GAZA	KAS3	KAṢ	NAGA3																																		
NIG2	𒃻	gar, ša			859	U+120FB	False	GA4	GAR	GARA																																						
GAN	𒃶	gan, kan			253	U+120F6	False	GAM4	QAN	SAG7	SEG16	SIG16																																				
GAM	𒑲	gam			576	U+12472	False	AR5	GAN7	GAR17																																						
GAL	𒃲	gal			553	U+120F2	False	GALA																																								
GAB	𒃮	gab, gap, qab, qap			298	U+120EE	False	GA15	KAP3	PITRU	QAB	QAP																																				
GA	𒂵	ga, qa			491	U+120B5	False	EBIR4	EPIR4	GAR9	GARA9	GE20	GU11	QA2	ŠIZBU																																	
EŠ	𒌍	eš			711	U+1230D	False	U.U.U	BUR3.BUR3.BUR3	30	BA3	BATU	ES2	EŠA2	EŠE	EZ2	IS5	IŠ3	NAN3	SENNU	ṢIN	UŠ18	UŠU3	UZ7																								
EN	𒂗	en			164	U+12097	False	ENI	ENU	IN4	RU12	URU16																																				
EL	𒂖	el			899	U+12096	False	ELE2	EŠ14	SIKIL																																						
IG	𒅅	ek, ik, eg, ig, eq, ik			136	U+12145	False	DA11																																								
A2	𒀉	ed, id, et, it, eṭ, iṭ			560	U+12009	False	AḪ5	AḪI	TI8																																						
E	𒂊	e			498	U+1208A	False	EG2	EKI	I15																																						
DUR	𒄙	dur, tur			178	U+12119	False	GU2.GAG	GU2 x GAG	DURU	TUR2	ṬUR																																				
ŠUL	𒂄	dun, šul			744	U+12084	False	DU24	DUN	DUR9	DURU9	SAḪ3																																				
DUL	𒌋𒌆	dul			720	U+1230B & U+12306	True	ŠU4.DUL5	U.TUG2																																							
BI x A	𒁊	dug, duk, duq, lud, lut, luṭ 			499	U+1204A	False	BI x A	DUK	DUQ	EBIR	EPIG2																																				
DUB	𒁾	dub, dup, tub, tup			242	U+1207E	False	DAB4	DEḪ	DEḪI	DIḪ	DIḪI	DUBA	DUBBA	DUP	KIŠIB3																																
DU	𒁺	du, kub, kup			350	U+1207A	False	AR6																																								
DIŠ	𒁹	diš, ṭiš	male names:m		748	U+12079	False	male determinative 	1	60	602	603	1/60	1/3600	ANA	repetition	sentence break																															
DIN	𒁷	din, ten, tin			119	U+12077	False	DAN5																																								
DIM	𒁴	dim. tim			167	U+12074	False	DI11	DUM4	TAM3	TEM	TI3	TIM	TUM8	ṬIM																																	
DI	𒁲	de, di			736	U+12072	False	DE	SA2	SAL2	SI8	SILIM	SILIMA	ŠUL3	TE10	TI4	ṬE	ṬI																														
DAR	𒁯	dar			183	U+1206F	False	ḪU gunû	SI  gunû	DARA	DARRI																																					
DAM	𒁮	dam			889	U+1206E	False	DA4	DAMA	DUM3	ṬA4	ṬAM																																				
TAḪ	𒈭	daḫ, taḫ			301	U+1222D	False	MU over  MU	DAḪ	TAḪA	TUḪ2	ṬAḪ																																				
DAG	𒁖	dag, daq, dak, tag, tak, taq			438	U+12056	False	BAR3	BARA3	BARA5																																						
DA	𒁕	da, ṭa			561	U+12055	False	DU20	IDI3	LE10	QAB3	TA2	ṬA																																			
BUR	𒁓	bur, pur			559	U+12053	False	NIG2  gunû	BURU	PUR	PURU																																					
